ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Intensity_IntegratedIntensityEdge_DNA,Intensity_IntegratedIntensity_DNA,Intensity_LowerQuartileIntensity_DNA,Intensity_MADIntensity_DNA,Intensity_MassDisplacement_DNA,Intensity_MaxIntensityEdge_DNA,Intensity_MaxIntensity_DNA,Intensity_MeanIntensityEdge_DNA,Intensity_MeanIntensity_DNA,Intensity_MedianIntensity_DNA,Intensity_MinIntensityEdge_DNA,Intensity_MinIntensity_DNA,Intensity_StdIntensityEdge_DNA,Intensity_StdIntensity_DNA,Intensity_UpperQuartileIntensity_DNA,Texture_AngularSecondMoment_DNA_3_00_256,Texture_AngularSecondMoment_DNA_3_01_256,Texture_AngularSecondMoment_DNA_3_02_256,Texture_AngularSecondMoment_DNA_3_03_256,Texture_Contrast_DNA_3_00_256,Texture_Contrast_DNA_3_01_256,Texture_Contrast_DNA_3_02_256,Texture_Contrast_DNA_3_03_256,Texture_Correlation_DNA_3_00_256,Texture_Correlation_DNA_3_01_256,Texture_Correlation_DNA_3_02_256,Texture_Correlation_DNA_3_03_256,Texture_DifferenceEntropy_DNA_3_00_256,Texture_DifferenceEntropy_DNA_3_01_256,Texture_DifferenceEntropy_DNA_3_02_256,Texture_DifferenceEntropy_DNA_3_03_256,Texture_DifferenceVariance_DNA_3_00_256,Texture_DifferenceVariance_DNA_3_01_256,Texture_DifferenceVariance_DNA_3_02_256,Texture_DifferenceVariance_DNA_3_03_256,Texture_Entropy_DNA_3_00_256,Texture_Entropy_DNA_3_01_256,Texture_Entropy_DNA_3_02_256,Texture_Entropy_DNA_3_03_256,Texture_InfoMeas1_DNA_3_00_256,Texture_InfoMeas1_DNA_3_01_256,Texture_InfoMeas1_DNA_3_02_256,Texture_InfoMeas1_DNA_3_03_256,Texture_InfoMeas2_DNA_3_00_256,Texture_InfoMeas2_DNA_3_01_256,Texture_InfoMeas2_DNA_3_02_256,Texture_InfoMeas2_DNA_3_03_256,Texture_InverseDifferenceMoment_DNA_3_00_256,Texture_InverseDifferenceMoment_DNA_3_01_256,Texture_InverseDifferenceMoment_DNA_3_02_256,Texture_InverseDifferenceMoment_DNA_3_03_256,Texture_SumAverage_DNA_3_00_256,Texture_SumAverage_DNA_3_01_256,Texture_SumAverage_DNA_3_02_256,Texture_SumAverage_DNA_3_03_256,Texture_SumEntropy_DNA_3_00_256,Texture_SumEntropy_DNA_3_01_256,Texture_SumEntropy_DNA_3_02_256,Texture_SumEntropy_DNA_3_03_256,Texture_SumVariance_DNA_3_00_256,Texture_SumVariance_DNA_3_01_256,Texture_SumVariance_DNA_3_02_256,Texture_SumVariance_DNA_3_03_256,Texture_Variance_DNA_3_00_256,Texture_Variance_DNA_3_01_256,Texture_Variance_DNA_3_02_256,Texture_Variance_DNA_3_03_256
1,1,11230,14935,1.191123226,11455,0.724468256,119.5762522,1,0.751925008,0.8395437,144.2670873,144.4991349,49.76946855,18.59709485,16.97056275,101.5811071,99.44448124,-89.47951716,409.9898987,0.980357922,0.684793108,0.031398491,0.178449884,0.08893765,0.004857248,0.01256488,0.033733165,0.004198695,0.024667577,0.012005201,0.008818701,0.004933723,0.019040102,0.027825849,0.007692433,0.005920497,0.002000948,0.007284606,0.003563209,0.002629216,0.002628547,0.00633241,0.007330962,0.009789693,0.002579179,0.005974659,0.006888995,0.004384671,0.006706388,0.002032266,6.753505802,275.6675987,0.021866178,0.002410926,0.634516236,0.02246128,0.036682688,0.019186096,0.024547426,0.02403296,0.016174564,0.016174564,0.001142425,0.003515862,0.026825361,0.166565859,0.150391302,0.151221221,0.143477116,0.319109972,0.402245089,0.384829119,0.439764662,0.819691199,0.772660868,0.782755035,0.750663098,0.916553251,1.023359696,0.99864246,1.05914647,0.046969509,0.042730895,0.043305602,0.041060506,3.040502464,3.180010396,3.155422211,3.229379116,-0.404921247,-0.333096853,-0.346343132,-0.306184427,0.886798352,0.84819044,0.856347615,0.829978189,0.843631536,0.81313377,0.817143651,0.797824057,12.57494735,12.60486436,12.59155321,12.61010459,2.705048352,2.731419978,2.732808353,2.738360969,3.220483985,3.136477741,3.157983667,3.08770888,0.884898489,0.884680708,0.885703197,0.881868385
1,2,22706,33582,1.440900163,24100,0.688715309,170.02993,1,0.676136025,0.694010609,203.6649596,218.8355547,70.83784299,25.55468682,22.13594362,143.6674601,147.663588,-60.12476954,641.1980515,0.942157676,0.600351609,0.107754624,0.16719893,0.066881255,0.031453213,0.003416418,0.004749841,0.017798672,0.018448165,0.02242761,0.024270195,0.010665139,0.006161935,0.014397622,0.006532886,0.005065136,0.01612927,0.004880742,0.016555235,0.009284975,0.001110819,0.006742887,0.002395176,0.004743836,0.001665398,0.000560654,0.006888604,0.006170255,0.006276311,0.006669056,12.0988785,682.4043514,0.026779583,0.003234914,1.300980807,0.028641185,0.043472953,0.022078245,0.030053922,0.030167086,0.018799115,0.018799115,0.001332573,0.004472234,0.033279926,0.116121219,0.10363383,0.115851145,0.109538141,0.381985477,0.48373909,0.382922854,0.433749716,0.855359382,0.81254978,0.854346669,0.834107918,0.99636038,1.097297944,0.994589001,1.053172263,0.037619468,0.034343688,0.037498553,0.035815397,3.514473788,3.652012525,3.513793171,3.593495689,-0.422372219,-0.350780735,-0.421072839,-0.383267934,0.920700468,0.887975168,0.920061206,0.904435911,0.818641469,0.781226458,0.817122419,0.80007722,15.42469893,15.48484153,15.43716045,15.44969339,3.09448147,3.103795245,3.096183469,3.106108453,4.899870771,4.677514823,4.875080528,4.795550099,1.320464062,1.290313478,1.314500846,1.307324954
1,3,10370,14520,1.234332522,10615,0.701148805,114.906458,1,0.714187328,0.810154462,137.4293514,140.431478,48.27007354,17.71608365,16,98.83813706,97.98918549,61.85872098,401.0609665,0.976919454,0.669422709,0.103453815,0.154050676,0.071521266,0.024313567,0.014145552,0.01927607,0.018922913,0.024669601,0.028437331,0.015987795,0.004563355,0.001989678,0.007654094,0.011284219,0.010439299,0.010601584,0.011670789,0.006148942,0.005104296,0.006696669,0.01138755,0.011444008,0.004107247,0.005089434,0.005364501,0.003828641,0.001946032,0.004494246,0.002893203,7.568123944,283.0756859,0.025284199,0.001998933,1.307174958,0.025299458,0.037155718,0.022193912,0.027297559,0.027283132,0.019699397,0.019226369,0.000926029,0.002919523,0.029297322,0.197934083,0.190464345,0.197415112,0.189342794,0.343893206,0.393407923,0.352952973,0.386767409,0.709074888,0.66285823,0.696661054,0.668681381,0.951093383,1.018151804,0.964413287,1.004235159,0.045528879,0.043340317,0.045111015,0.043343503,2.823233773,2.883143134,2.825549191,2.882279029,-0.304239318,-0.257753664,-0.290802348,-0.259928196,0.798052272,0.757562489,0.78592104,0.759803929,0.834030683,0.818778349,0.831224306,0.817888503,14.00896593,14.02933172,14.02767472,14.04717174,2.453005056,2.437018388,2.440671556,2.453711158,2.020242386,1.940375413,1.974166427,1.947948403,0.591033898,0.583445834,0.58177985,0.583678953
1,4,9445,13287,1.317926801,9986,0.771054966,109.6619693,1,0.710845187,0.758767482,139.488074,135.9595528,40.02499219,15.8287336,14.4222051,90.17986295,88.82162437,-69.92980169,395.5046174,0.945824154,0.650333106,0.063235207,0.157266746,0.096859945,0.034567577,0.003458881,0.024593156,0.02394773,0.022624012,0.013241788,0.017177796,0.006796484,0.004352429,0.014603441,0.0096789,0.006172128,0.016701497,0.011714171,0.010293432,0.002339468,0.003953244,0.005845307,0.009908416,0.011736729,0.004062425,0.00286592,0.002126229,0.003408563,0.003219141,0.00157648,7.354314525,233.5494936,0.02323949,0.001449607,0.784810227,0.024078736,0.03106737,0.021630337,0.024727315,0.024597544,0.017990386,0.017990386,0.001129148,0.00207527,0.026184482,0.30112075,0.281754649,0.295636487,0.288476813,0.275809106,0.318545209,0.288032678,0.298876154,0.592545454,0.530762745,0.576168182,0.560566954,0.856857111,0.919760736,0.87774021,0.891090187,0.05475091,0.051246108,0.053845668,0.052710131,2.216800493,2.293302247,2.243737149,2.264871032,-0.244585908,-0.186914125,-0.227401261,-0.211507498,0.678852361,0.613816572,0.661573937,0.64399818,0.863938563,0.845456593,0.85942813,0.853499499,12.64465167,12.658597,12.64859792,12.6542784,1.929850039,1.951749031,1.937584551,1.949963144,1.078006228,1.039169701,1.071151158,1.061404584,0.338453833,0.339428728,0.339795959,0.340070185
1,5,10235,12420,1.246001921,10470,0.770978185,114.1560631,1,0.824074074,0.802566981,144.2153384,137.9311422,44.55333882,17.21946997,15.8113883,89,91.84520442,-85.80141495,400.3208512,0.977554919,0.673853735,0.03337956,0.161273319,0.109162891,0.012726647,0.010153842,0.014441668,0.015805681,0.013080569,0.003200948,0.011747026,0.015553162,0.013899922,0.025954819,0.016838321,0.003855248,0.006002576,0.003003097,0.00154248,0.009215917,0.007167111,0.004059692,0.011754705,0.006815572,0.001312864,0.001341243,0.004341093,0.008418344,0.006333,0.002663603,7.812878659,299.2658286,0.026947433,0.002235447,0.646276828,0.0243534,0.042481117,0.021946288,0.029239456,0.028961623,0.019134814,0.019134814,0.00096119,0.003604779,0.031555656,0.174869267,0.161219996,0.170599772,0.160114406,0.344048217,0.452656605,0.396374376,0.453573265,0.796391462,0.721956096,0.760485072,0.722568882,0.954562439,1.087903874,1.028092653,1.0851439,0.039473905,0.035730981,0.037821111,0.035510416,3.092903243,3.195470974,3.139696746,3.209540892,-0.379180191,-0.298433454,-0.340153429,-0.293772965,0.874502878,0.820981631,0.850798466,0.817839401,0.835449523,0.802821997,0.822588858,0.799619537,14.99899548,15.06998139,15.03493227,15.05922879,2.721518213,2.692813885,2.696609984,2.702385244,3.035458559,2.803351519,2.913434996,2.816234881,0.844876694,0.814002031,0.827452343,0.817452036
1,6,11714,18876,1.973199233,12968,0.750168251,122.1258696,1,0.620576393,0.506791196,153.4385377,151.3439791,44.91102315,16.07006561,14.17740301,105.9477375,101.4607729,-34.37772283,538.9432175,0.903300432,0.650657752,0.021646669,0.169035014,0.093368869,0.001068911,0.026830925,0.018302325,0.023587757,0.003933453,0.001426753,0.001444705,0.005888901,0.007140978,0.021883657,0.017427259,0.010173146,0.001384577,0.006957446,0.013233659,0.010256895,0.005612829,0.005926271,0.009827011,0.004158834,0.011452786,0.003572922,0.001214093,0.005180376,0.013027331,0.00696106,8.923949107,290.2166185,0.022644389,0.001953155,1.033946949,0.024292363,0.039948121,0.019442155,0.024775194,0.024368659,0.013351644,0.013351644,0.002848273,0.003676092,0.026672771,0.203807719,0.187724944,0.206594366,0.197290525,0.384361332,0.517988253,0.345750356,0.403114651,0.781223292,0.703497785,0.806625593,0.77481828,1.012033114,1.160418883,0.960656382,1.033921896,0.040922738,0.036900467,0.042536363,0.040106212,3.08322661,3.229767942,3.048609117,3.127575747,-0.347278338,-0.2600923,-0.376017107,-0.332733517,0.852233015,0.786924294,0.869645716,0.844402928,0.825064715,0.793428781,0.8369399,0.818526806,12.76729447,12.81387665,12.75097795,12.76183657,2.652498501,2.642680391,2.668942404,2.682316401,3.129370409,2.976004208,3.230217749,3.177235041,0.878432935,0.873498115,0.893992026,0.895087423
1,7,12596,16200,1.177651149,12801,0.716419352,126.640141,1,0.777530864,0.8491479,152.1799889,149.7531302,53.08483776,19.8301608,17.88854382,106.1984301,106.1714002,86.77561522,431.747258,0.983985626,0.715107596,0.032638891,0.163192959,0.09412901,0.005498318,0.01343277,0.034878494,0.005047576,0.024075594,0.015150431,0.012665305,0.003121991,0.013023411,0.024676352,0.013901152,0.00638644,0.004957365,0.006903821,0.001783779,0.000967914,0.002128722,0.006123137,0.003668975,0.011256312,0.000479565,0.006458262,0.008306883,0.005629357,0.003004787,0.001215602,7.066178424,302.8945159,0.021683071,0.001937896,1.165000985,0.023056382,0.0371252,0.018843142,0.024046881,0.023270009,0.015518425,0.015518425,0.001571883,0.003430629,0.02604715,0.19667454,0.185708484,0.191978165,0.187627213,0.304269883,0.360628481,0.332619793,0.348902926,0.815982574,0.781408691,0.798318118,0.787924755,0.895743082,0.971815187,0.938063822,0.956040767,0.047982381,0.044589646,0.046290896,0.045175509,2.925715172,3.019131264,2.971820862,3.001347404,-0.409560053,-0.357082616,-0.382655833,-0.366568905,0.882262525,0.854883454,0.868870687,0.860237086,0.850016297,0.827267437,0.839321587,0.831432846,12.34925033,12.37742123,12.3662111,12.38530585,2.609572067,2.628239169,2.613477383,2.62731849,3.002698265,2.938939863,2.965840032,2.941466263,0.826742037,0.824892086,0.824614956,0.822592297
1,8,12282,17658,1.300583375,12594,0.841369154,125.0517017,1,0.69554876,0.768885732,170.7221551,166.0873264,43.829214,18.01624937,16.55294536,91.0961742,92.26864366,-21.3192505,448.0315293,0.975226298,0.566844943,0.031177661,0.176547476,0.104269266,0.017591925,0.014630215,0.007317291,0.036203314,0.032608138,0.00136411,0.003550858,0.01042062,0.012142311,0.017142795,0.002549306,0.010097111,0.008923899,0.011865869,0.003437583,0.005333802,0.010591218,0.01008247,0.014682861,0.008968851,0.002942511,0.006681007,0.00469469,0.00458435,0.005589526,0.002147049,8.540581429,354.1831402,0.026443886,0.002258334,0.485574837,0.025024796,0.040604256,0.022299168,0.028837579,0.028458076,0.020309757,0.020309757,0.000874357,0.003502826,0.031128405,0.163502618,0.152142009,0.167477519,0.157882149,0.407511021,0.47103383,0.364343679,0.432799118,0.751187606,0.711744912,0.780513044,0.735803707,1.025438891,1.087341712,0.96682784,1.047302418,0.039327889,0.03714684,0.040877264,0.038297881,3.131831966,3.218010372,3.086562741,3.173944111,-0.317521516,-0.27045119,-0.351253378,-0.295124924,0.83268487,0.796536194,0.855314576,0.816547257,0.809367582,0.786175433,0.822345855,0.798253201,14.81391997,14.83859861,14.78248139,14.81421182,2.68148583,2.686560143,2.701073266,2.693995658,2.868137872,2.797139742,2.955613788,2.84354601,0.818912223,0.817043393,0.829989367,0.819086282
1,9,12236,17835,1.282096458,12464,0.572855401,124.8173028,1,0.686066723,0.779972516,139.2859058,145.3822548,54.12947441,19.60905036,17.4642492,115.5397689,114.1665905,28.51743558,444.002092,0.981707317,0.727179531,0.0860129,0.15639205,0.043958082,0.002388556,0.028591412,0.043382754,0.018461903,0.031142049,0.029048311,0.011557903,0.004653282,0.00472621,0.016214151,0.006291679,0.003528232,0.00680955,0.003069606,0.006216508,0.007805803,0.003131131,0.004927537,0.012647092,0.004665763,0.004152371,0.00822705,0.005840072,0.002141962,0.003818115,0.004252509,8.228107166,380.8888087,0.027725643,0.003570613,1.28343423,0.024048219,0.044937819,0.021941619,0.031128539,0.030975815,0.018722819,0.018722819,0.000787335,0.004927509,0.034851607,0.105404822,0.099953198,0.106594731,0.095402909,0.409380036,0.46596144,0.398145807,0.549154289,0.866014595,0.847524952,0.871194779,0.81723312,1.028798763,1.09438582,1.020152107,1.179190779,0.036643539,0.035018215,0.03719707,0.03302557,3.673626344,3.758530807,3.663496548,3.840747387,-0.428943297,-0.39358895,-0.438257259,-0.350007312,0.930309403,0.917312767,0.933835477,0.896639552,0.80925282,0.79373827,0.815288664,0.774156435,16.04639132,16.06091111,16.02039612,16.091354,3.21720698,3.223423515,3.217145177,3.205046109,5.701435328,5.646008315,5.783991921,5.460187117,1.527703841,1.527992439,1.545534432,1.502335351
1,10,8571,11336,1.182486653,8786,0.546561332,104.4649996,1,0.756086803,0.845675507,114.354275,115.6762724,46.66904756,16.90691358,15,94.4674262,95.76245135,37.35151962,356.8772004,0.975529251,0.807758072,0.029064226,0.140593653,0.05767126,0.01350082,0.018027862,0.06862513,0.014843444,0.000909722,0.009720083,0.006010638,0.00436747,0.013673309,0.012216602,0.010298212,0.006475261,0.01002498,0.003024708,0.004684947,0.004282599,0.007764344,0.014990333,0.007053343,0.003039311,0.002229972,0.004347662,0.006848523,0.004125787,0.002953543,0.005012729,6.705058403,221.3360809,0.023376822,0.002059968,0.813060474,0.026565958,0.035568781,0.02176967,0.025823834,0.025131609,0.019012742,0.019012742,0.001248189,0.003287837,0.027832456,0.210697272,0.204086303,0.212798394,0.202092543,0.27879597,0.305201178,0.281874319,0.305854685,0.815690578,0.796981779,0.81223826,0.797360547,0.857532471,0.897066905,0.862848809,0.899635023,0.049914454,0.047915928,0.049691699,0.047956904,2.778043672,2.820285874,2.773162907,2.834214187,-0.420110174,-0.390925138,-0.414660332,-0.388518124,0.878507486,0.863706636,0.874981276,0.863153119,0.861330259,0.849607458,0.860079913,0.849894789,13.23667921,13.25686948,13.23743795,13.2685976,2.494705899,2.503304416,2.484841511,2.513361723,2.74650753,2.701437109,2.720593799,2.712853473,0.756325875,0.751659572,0.75061703,0.75467704
1,11,11385,14637,1.234935195,11646,0.397157879,120.3986388,1,0.777823324,0.80975909,126.4781787,127.440182,53.48831648,18.99267654,17,116.6001211,116.0753868,27.83916498,420.3330445,0.977588872,0.838916492,0.036565901,0.120340271,0.030734294,0.012668728,0.042295983,0.063411423,0.007836315,0.007685529,0.008905573,0.010669275,0.011384765,0.019248123,0.0102768,0.004885764,0.011263262,0.01278341,0.00843836,0.003846115,0.002713089,0.000298152,0.009581262,0.004449705,0.004210568,0.001837978,0.00735598,0.008037833,0.00315355,0.002866945,0.004567694,7.891050629,297.7201813,0.024124514,0.001983672,0.502359553,0.02450599,0.036377508,0.021678711,0.026150214,0.026016632,0.018493935,0.018493935,0.000998366,0.00271341,0.028107118,0.201655355,0.191882006,0.205167283,0.19171559,0.351258062,0.390875576,0.342475706,0.395443225,0.670693166,0.635117346,0.681019716,0.625729003,0.960766371,1.007320142,0.952729776,1.012906681,0.045147414,0.043122139,0.045806316,0.042897467,2.7387937,2.800399387,2.727403211,2.793182234,-0.270755575,-0.236454,-0.283731292,-0.229193101,0.758842885,0.726691834,0.770813841,0.717442001,0.83134708,0.815843318,0.836172918,0.814122313,13.41184485,13.42460829,13.40777404,13.43722904,2.357698031,2.368484593,2.354121723,2.354454474,1.782059718,1.751597197,1.804840118,1.717695264,0.533329445,0.535618193,0.536828956,0.528284622
1,12,8595,12093,1.343411744,8912,0.757891528,104.6111557,1,0.710741751,0.744373424,129.9669568,138.5207566,42.72001873,15.94218356,14.2126704,85.91882962,84.78791966,87.57305191,380.9188309,0.964429982,0.570131028,0.038350215,0.207480055,0.074457822,0.007896815,0.01302594,0.005204168,0.025492109,0.024690595,0.009767853,0.008659206,0.004745276,0.032477613,0.021210553,0.002534129,0.010883634,0.006154422,0.00535091,0.008200691,0.0033045,0.006262709,0.01128327,0.011735072,0.000888155,0.005404406,0.001908097,0.006081778,0.002040947,0.007666112,0.002855313,6.574532749,251.0483875,0.023968108,0.004531929,1.702297511,0.02432288,0.04103151,0.020229332,0.029208655,0.030380713,0.015976196,0.015976196,0.001676013,0.005722515,0.034042876,0.100550688,0.089942378,0.09454019,0.087071384,0.399543653,0.583538689,0.494923547,0.598939057,0.904314587,0.857789771,0.879099342,0.851603392,1.021006886,1.213402224,1.12486281,1.209732949,0.039795538,0.034970941,0.03673234,0.034120079,3.716663203,3.924011536,3.83234211,3.941303659,-0.462922936,-0.370860408,-0.408086939,-0.357940382,0.945200089,0.912392975,0.92726585,0.905882986,0.814350907,0.772548053,0.786299694,0.754416482,15.05211961,15.14144899,15.12513761,15.1637059,3.276352067,3.277711722,3.284763737,3.289347871,7.951648864,7.623166161,7.69235281,7.473200379,2.087798129,2.051676212,2.046819089,2.018034859
1,13,12441,17017,1.333643029,13025,0.736480954,125.8585443,1,0.731092437,0.749825837,154.4633151,150.0966355,49.39635614,18.77633387,17,105.0179256,104.4879885,23.4001432,456.6173157,0.955163148,0.702736427,0.021429933,0.159331996,0.100917946,0.009283045,0.016849974,0.029271121,0.01051547,0.01248078,0.007056647,0.012395663,0.008021835,0.006118014,0.027808479,0.020203977,0.006427824,0.005656265,0.003695842,0.00676145,0.002138969,0.005426929,0.00307386,0.006322146,0.008669947,0.002939399,0.002515419,0.005067909,0.006524703,0.007514065,0.004306007,8.610772921,361.9066009,0.026886396,0.002166781,0.330481977,0.02450599,0.042999923,0.021966257,0.029089832,0.028961623,0.018646525,0.018646525,0.000861371,0.003669105,0.031219959,0.152867611,0.146413676,0.154754634,0.144415859,0.394910305,0.441651253,0.375331345,0.472151684,0.775890355,0.747601803,0.789296086,0.72904875,1.007868053,1.054377949,0.983187268,1.096714096,0.037035095,0.035445134,0.037731225,0.034781214,3.217906146,3.280630371,3.197944313,3.313942427,-0.3425281,-0.305490728,-0.360055297,-0.285557392,0.857627054,0.832829832,0.868588533,0.817580454,0.812457238,0.794408946,0.819093771,0.789724056,14.96045056,14.97889692,14.939778,14.99322837,2.787261573,2.794286327,2.795229733,2.776966279,3.129349484,3.057987483,3.187311018,3.012989527,0.881064947,0.874909684,0.890660591,0.871285303
1,14,12294,17202,1.313182648,12572,0.544051674,125.112777,1,0.714684339,0.761508692,137.3578781,143.6105846,56.30275304,19.80835434,17.49285568,112.8814899,115.2503629,-10.37844208,450.4163056,0.977887369,0.75882321,0.045154445,0.162153679,0.05387359,0.014013954,0.019942039,0.062497484,0.008339026,0.018157012,0.009278844,0.015224315,0.00668842,0.00172478,0.015730365,0.00461541,0.003641653,0.013042208,0.014579952,0.00160099,0.001813573,0.008884356,0.013710424,0.005650343,0.004588059,0.004241911,0.00529916,0.002526106,0.004756617,0.000506268,0.001314498,8.38355083,348.8064714,0.025970856,0.00248722,0.890694145,0.026321813,0.038513772,0.022061976,0.02837209,0.028564889,0.019684138,0.019684138,0.001111419,0.003441295,0.030960556,0.166862482,0.156668118,0.165499691,0.159166985,0.356581947,0.417669654,0.345779493,0.389011737,0.76942676,0.728826275,0.777666306,0.747860728,0.974690275,1.047548437,0.953460115,1.007627362,0.042000205,0.039532954,0.042115684,0.040252292,3.048390783,3.136472395,3.038181434,3.097011044,-0.352681794,-0.302938057,-0.361346514,-0.325201444,0.853759577,0.820758262,0.859147633,0.836434305,0.832956177,0.81318822,0.833252224,0.818149345,14.59064426,14.60938967,14.57669072,14.603504,2.650713457,2.660846212,2.664575217,2.666378395,2.736421801,2.662788488,2.764675674,2.696677635,0.773250937,0.770114536,0.777613792,0.771422343
1,15,10699,14500,1.23512814,10996,0.726097112,116.7149943,1,0.737862069,0.809632594,142.0589198,145.5266299,49.03060269,17.68578534,16,98.60441907,97.6786001,-77.53207547,407.5046174,0.972990178,0.6427868,0.060667433,0.180716351,0.078090384,0.018601915,0.011840248,0.02420891,0.011866533,0.029608906,0.023444693,0.020174374,0.007246559,0.012168543,0.019349415,0.002258203,0.013636931,0.009076978,0.010420373,0.007330701,0.003301791,0.000322032,0.004447086,0.009964641,0.003616523,0.005939143,0.008061046,0.010756582,0.001073635,0.001397682,0.001385349,7.743495874,318.5508367,0.026550699,0.002822921,0.942223578,0.024612803,0.044968337,0.021998568,0.029773889,0.029068436,0.019485772,0.019485772,0.000974371,0.004777392,0.032413978,0.122902078,0.1115963,0.120509228,0.113535099,0.383883066,0.483343189,0.403156664,0.45849686,0.87222474,0.838832241,0.864869118,0.845089622,1.000010246,1.108213054,1.022246237,1.079421473,0.037591568,0.034563857,0.036874374,0.03508516,3.522506766,3.664470236,3.544199372,3.622394948,-0.43908115,-0.378110047,-0.426220851,-0.386802536,0.928531398,0.904919403,0.92377093,0.90772892,0.818559477,0.787305342,0.811632892,0.792180141,15.29974036,15.35659373,15.33671083,15.36155808,3.100661894,3.116000613,3.098701908,3.105558535,5.624839821,5.514670203,5.563749743,5.46101437,1.502180722,1.499503348,1.491726602,1.479877808
1,16,7978,11340,1.186669868,8139,0.689368901,100.7864331,1,0.703527337,0.842694356,119.0282564,118.3427226,41.67733197,15.84114817,14.14213562,84.65180759,86.22531423,50.02751188,344.9188309,0.9802187,0.725305611,0.09194598,0.142606641,0.076688874,0.016129725,0.004409715,0.033132198,0.009707201,0.017026798,0.031785332,0.021658191,0.009022904,0.009929049,0.009579518,0.007634354,0.005763596,0.002086924,0.005958092,0.009890724,0.00138519,0.007472515,0.002040444,0.008258535,0.00761,0.002357612,0.008059961,0.008570566,0.005698178,0.002424126,0.002107156,6.055085097,211.2356917,0.024628062,0.001907378,0.728377217,0.024475472,0.036285955,0.020951852,0.026477274,0.02652018,0.017120622,0.017120622,0.001674351,0.002823698,0.028458076,0.202957219,0.191114618,0.198969633,0.188929892,0.348342469,0.388626215,0.35915861,0.433654361,0.683516325,0.655979122,0.677653775,0.603615096,0.951848855,1.004971053,0.968744652,1.06227441,0.045062371,0.043201139,0.044611821,0.04164432,2.770317717,2.855269295,2.802371892,2.876381314,-0.283747269,-0.250571637,-0.27309732,-0.213119794,0.774529515,0.747430899,0.766709,0.704611804,0.83037066,0.816561597,0.827319049,0.805002675,13.60832681,13.60506961,13.6024301,13.64125201,2.40269631,2.429027619,2.415059259,2.391157032,1.852987307,1.870691399,1.86924416,1.75439244,0.550332444,0.564829404,0.557100692,0.5470117
1,17,12488,17220,2.133573231,13446,0.603647589,126.0960564,1,0.725203252,0.468697294,142.6861305,151.4892735,52.88667129,17.34302544,15,115.3081863,113.7566989,28.48081928,578.6356057,0.928752045,0.692739072,0.042733587,0.185012976,0.054156927,0.001724084,0.010278273,0.04818156,0.006517596,0.018599937,0.018331997,0.008186352,0.006971133,0.01353091,0.018719124,0.005643732,0.016004708,0.004476906,0.005988489,0.013481324,0.007619536,0.009090987,0.009314238,0.001870539,0.00583153,0.009288109,0.00895621,0.009645048,0.000978883,0.007932959,0.00358672,5.853391373,158.3790355,0.012069887,0.000595102,0.025289124,0.013504234,0.016769664,0.011777447,0.012682498,0.01263447,0.010238804,0.009918365,0.000599731,0.000882724,0.013244831,0.64711257,0.642985947,0.646522395,0.63846578,0.156885726,0.161254955,0.159427525,0.164805184,0.288870459,0.272847617,0.273570201,0.263900387,0.626806892,0.63730337,0.632938253,0.645682141,0.107090962,0.105899282,0.106395844,0.104942226,1.048593273,1.057323788,1.048728303,1.067542844,-0.083186446,-0.074760051,-0.075396327,-0.070068782,0.294949776,0.280773967,0.280860558,0.273109662,0.921557137,0.919372523,0.920286237,0.917597408,6.252490582,6.254027157,6.250956898,6.256884645,0.891707547,0.896068833,0.889300778,0.90273766,0.284343944,0.282269563,0.279506906,0.282974385,0.110307417,0.110881129,0.109733608,0.111944892
