FileName_AA,FileName_BF,FileName_DA,FileName_DD,FileName_ED,FileName_MB,ImageNumber,Metadata_batch,Metadata_hour,Metadata_label,Metadata_time
clMcf7_exp20240515_h2_b0_ic0_cAA.tif,clMcf7_exp20240515_h2_b0_ic0_cBF.tif,clMcf7_exp20240515_h2_b0_ic0_cDA.tif,clMcf7_exp20240515_h2_b0_ic0_cDD.tif,clMcf7_exp20240515_h2_b0_ic0_cED.tif,clMcf7_exp20240515_h2_b0_ic0_cMB.tif,1,0,2,0,20240515
clMcf7_exp20240515_h2_b0_ic1_cAA.tif,clMcf7_exp20240515_h2_b0_ic1_cBF.tif,clMcf7_exp20240515_h2_b0_ic1_cDA.tif,clMcf7_exp20240515_h2_b0_ic1_cDD.tif,clMcf7_exp20240515_h2_b0_ic1_cED.tif,clMcf7_exp20240515_h2_b0_ic1_cMB.tif,2,0,2,1,20240515
clMcf7_exp20240515_h2_b10_ic0_cAA.tif,clMcf7_exp20240515_h2_b10_ic0_cBF.tif,clMcf7_exp20240515_h2_b10_ic0_cDA.tif,clMcf7_exp20240515_h2_b10_ic0_cDD.tif,clMcf7_exp20240515_h2_b10_ic0_cED.tif,clMcf7_exp20240515_h2_b10_ic0_cMB.tif,3,10,2,0,20240515
clMcf7_exp20240515_h2_b10_ic1_cAA.tif,clMcf7_exp20240515_h2_b10_ic1_cBF.tif,clMcf7_exp20240515_h2_b10_ic1_cDA.tif,clMcf7_exp20240515_h2_b10_ic1_cDD.tif,clMcf7_exp20240515_h2_b10_ic1_cED.tif,clMcf7_exp20240515_h2_b10_ic1_cMB.tif,4,10,2,1,20240515
clMcf7_exp20240515_h2_b11_ic0_cAA.tif,clMcf7_exp20240515_h2_b11_ic0_cBF.tif,clMcf7_exp20240515_h2_b11_ic0_cDA.tif,clMcf7_exp20240515_h2_b11_ic0_cDD.tif,clMcf7_exp20240515_h2_b11_ic0_cED.tif,clMcf7_exp20240515_h2_b11_ic0_cMB.tif,5,11,2,0,20240515
clMcf7_exp20240515_h2_b11_ic1_cAA.tif,clMcf7_exp20240515_h2_b11_ic1_cBF.tif,clMcf7_exp20240515_h2_b11_ic1_cDA.tif,clMcf7_exp20240515_h2_b11_ic1_cDD.tif,clMcf7_exp20240515_h2_b11_ic1_cED.tif,clMcf7_exp20240515_h2_b11_ic1_cMB.tif,6,11,2,1,20240515
clMcf7_exp20240515_h2_b12_ic0_cAA.tif,clMcf7_exp20240515_h2_b12_ic0_cBF.tif,clMcf7_exp20240515_h2_b12_ic0_cDA.tif,clMcf7_exp20240515_h2_b12_ic0_cDD.tif,clMcf7_exp20240515_h2_b12_ic0_cED.tif,clMcf7_exp20240515_h2_b12_ic0_cMB.tif,7,12,2,0,20240515
clMcf7_exp20240515_h2_b12_ic1_cAA.tif,clMcf7_exp20240515_h2_b12_ic1_cBF.tif,clMcf7_exp20240515_h2_b12_ic1_cDA.tif,clMcf7_exp20240515_h2_b12_ic1_cDD.tif,clMcf7_exp20240515_h2_b12_ic1_cED.tif,clMcf7_exp20240515_h2_b12_ic1_cMB.tif,8,12,2,1,20240515
clMcf7_exp20240515_h2_b13_ic0_cAA.tif,clMcf7_exp20240515_h2_b13_ic0_cBF.tif,clMcf7_exp20240515_h2_b13_ic0_cDA.tif,clMcf7_exp20240515_h2_b13_ic0_cDD.tif,clMcf7_exp20240515_h2_b13_ic0_cED.tif,clMcf7_exp20240515_h2_b13_ic0_cMB.tif,9,13,2,0,20240515
clMcf7_exp20240515_h2_b13_ic1_cAA.tif,clMcf7_exp20240515_h2_b13_ic1_cBF.tif,clMcf7_exp20240515_h2_b13_ic1_cDA.tif,clMcf7_exp20240515_h2_b13_ic1_cDD.tif,clMcf7_exp20240515_h2_b13_ic1_cED.tif,clMcf7_exp20240515_h2_b13_ic1_cMB.tif,10,13,2,1,20240515
